,ScenarioID,CountryID,Year,AvailableVehiclesID,JSType_VSMID,LoadFactor
577,1,9,2036,4,2,0.969053386006584
578,1,9,2036,4,3,0.969053386006584
579,1,9,2036,5,1,1.20833010081351
580,1,9,2036,5,2,1.20833010081351
581,1,9,2036,5,3,1.20833010081351
582,1,9,2036,6,1,0.990297343992831
583,1,9,2036,6,2,0.990297343992831
584,1,9,2036,6,3,0.990297343992831
585,1,9,2036,7,4,1.0
586,1,9,2036,7,10,1.0
587,1,9,2036,7,11,1.0
588,1,9,2036,7,12,1.0
589,1,9,2036,8,4,1.0
590,1,9,2036,8,10,1.0
591,1,9,2036,8,11,1.0
592,1,9,2036,8,12,1.0
593,1,9,2036,9,5,1.0
594,1,9,2036,9,6,1.0
595,1,9,2036,9,7,1.0
596,1,9,2036,10,9,1.0
597,1,9,2036,10,13,1.0
598,1,9,2036,11,9,1.0
599,1,9,2036,11,13,1.0
600,1,9,2037,4,1,0.969365832818646
601,1,9,2037,4,2,0.969365832818646
602,1,9,2037,4,3,0.969365832818646
603,1,9,2037,5,1,1.20833010081351
604,1,9,2037,5,2,1.20833010081351
605,1,9,2037,5,3,1.20833010081351
606,1,9,2037,6,1,0.990297343992831
607,1,9,2037,6,2,0.990297343992831
608,1,9,2037,6,3,0.990297343992831
609,1,9,2037,7,4,1.0
610,1,9,2037,7,10,1.0
611,1,9,2037,7,11,1.0
612,1,9,2037,7,12,1.0
613,1,9,2037,8,4,1.0
614,1,9,2037,8,10,1.0
615,1,9,2037,8,11,1.0
616,1,9,2037,8,12,1.0
617,1,9,2037,9,5,1.0
618,1,9,2037,9,6,1.0
619,1,9,2037,9,7,1.0
620,1,9,2037,10,9,1.0
621,1,9,2037,10,13,1.0
622,1,9,2037,11,9,1.0
623,1,9,2037,11,13,1.0
624,1,9,2038,4,1,0.969612531550167
625,1,9,2038,4,2,0.969612531550167
626,1,9,2038,4,3,0.969612531550167
627,1,9,2038,5,1,1.20833010081351
628,1,9,2038,5,2,1.20833010081351
629,1,9,2038,5,3,1.20833010081351
630,1,9,2038,6,1,0.990297343992831
631,1,9,2038,6,2,0.990297343992831
632,1,9,2038,6,3,0.990297343992831
633,1,9,2038,7,4,1.0
634,1,9,2038,7,10,1.0
635,1,9,2038,7,11,1.0
636,1,9,2038,7,12,1.0
637,1,9,2038,8,4,1.0
638,1,9,2038,8,10,1.0
639,1,9,2038,8,11,1.0
640,1,9,2038,8,12,1.0
641,1,9,2038,9,5,1.0
642,1,9,2038,9,6,1.0
643,1,9,2038,9,7,1.0
644,1,9,2038,10,9,1.0
645,1,9,2038,10,13,1.0
646,1,9,2038,11,9,1.0
647,1,9,2038,11,13,1.0
648,1,9,2039,4,1,0.969783499508291
649,1,9,2039,4,2,0.969783499508291
650,1,9,2039,4,3,0.969783499508291
651,1,9,2039,5,1,1.20833010081351
652,1,9,2039,5,2,1.20833010081351
653,1,9,2039,5,3,1.20833010081351
654,1,9,2039,6,1,0.990297343992831
655,1,9,2039,6,2,0.990297343992831
656,1,9,2039,6,3,0.990297343992831
657,1,9,2039,7,4,1.0
658,1,9,2039,7,10,1.0
659,1,9,2039,7,11,1.0
660,1,9,2039,7,12,1.0
661,1,9,2039,8,4,1.0
662,1,9,2039,8,10,1.0
663,1,9,2039,8,11,1.0
664,1,9,2039,8,12,1.0
665,1,9,2039,9,5,1.0
666,1,9,2039,9,6,1.0
667,1,9,2039,9,7,1.0
668,1,9,2039,10,9,1.0
669,1,9,2039,10,13,1.0
670,1,9,2039,11,9,1.0
671,1,9,2039,11,13,1.0
672,1,9,2040,4,1,0.969881261052131
673,1,9,2040,4,2,0.969881261052131
674,1,9,2040,4,3,0.969881261052131
675,1,9,2040,5,1,1.20833010081351
676,1,9,2040,5,2,1.20833010081351
677,1,9,2040,5,3,1.20833010081351
678,1,9,2040,6,1,0.990297343992831
679,1,9,2040,6,2,0.990297343992831
680,1,9,2040,6,3,0.990297343992831
681,1,9,2040,7,4,1.0
682,1,9,2040,7,10,1.0
683,1,9,2040,7,11,1.0
684,1,9,2040,7,12,1.0
685,1,9,2040,8,4,1.0
686,1,9,2040,8,10,1.0
687,1,9,2040,8,11,1.0
688,1,9,2040,8,12,1.0
689,1,9,2040,9,5,1.0
690,1,9,2040,9,6,1.0
691,1,9,2040,9,7,1.0
692,1,9,2040,10,9,1.0
693,1,9,2040,10,13,1.0
694,1,9,2040,11,9,1.0
695,1,9,2040,11,13,1.0
696,1,9,2041,4,1,0.969943337337598
697,1,9,2041,4,2,0.969943337337598
698,1,9,2041,4,3,0.969943337337598
699,1,9,2041,5,1,1.20833010081351
700,1,9,2041,5,2,1.20833010081351
701,1,9,2041,5,3,1.20833010081351
702,1,9,2041,6,1,0.990297343992831
703,1,9,2041,6,2,0.990297343992831
704,1,9,2041,6,3,0.990297343992831
705,1,9,2041,7,4,1.0
706,1,9,2041,7,10,1.0
707,1,9,2041,7,11,1.0
708,1,9,2041,7,12,1.0
709,1,9,2041,8,4,1.0
710,1,9,2041,8,10,1.0
711,1,9,2041,8,11,1.0
712,1,9,2041,8,12,1.0
713,1,9,2041,9,5,1.0
714,1,9,2041,9,6,1.0
715,1,9,2041,9,7,1.0
716,1,9,2041,10,9,1.0
717,1,9,2041,10,13,1.0
718,1,9,2041,11,9,1.0
719,1,9,2041,11,13,1.0
720,1,9,2042,4,1,0.969969384133903
721,1,9,2042,4,2,0.969969384133903
722,1,9,2042,4,3,0.969969384133903
723,1,9,2042,5,1,1.20833010081351
724,1,9,2042,5,2,1.20833010081351
725,1,9,2042,5,3,1.20833010081351
726,1,9,2042,6,1,0.990297343992831
727,1,9,2042,6,2,0.990297343992831
728,1,9,2042,6,3,0.990297343992831
729,1,9,2042,7,4,1.0
730,1,9,2042,7,10,1.0
731,1,9,2042,7,11,1.0
732,1,9,2042,7,12,1.0
733,1,9,2042,8,4,1.0
734,1,9,2042,8,10,1.0
735,1,9,2042,8,11,1.0
736,1,9,2042,8,12,1.0
737,1,9,2042,9,5,1.0
738,1,9,2042,9,6,1.0
739,1,9,2042,9,7,1.0
740,1,9,2042,10,9,1.0
741,1,9,2042,10,13,1.0
742,1,9,2042,11,9,1.0
743,1,9,2042,11,13,1.0
