GEO_CODE,TotalCars
S01001437,472.0
S01001438,361.0
S01001439,363.0
S01001440,411.0
S01001441,394.0
S01001442,336.0
S01001443,413.0
S01001444,454.0
S01001445,324.0
S01001446,456.0
S01001447,451.0
S01001448,318.0
S01001449,344.0
S01001450,378.0
S01001451,380.0
S01001452,467.0
S01001453,483.0
S01001454,485.0
S01001455,353.0
S01001456,430.0
S01001457,578.0
S01001458,467.0
S01001459,527.0
S01001460,344.0
S01001461,458.0
S01001462,509.0
S01001463,317.0
S01001464,518.0
S01001465,385.0
S01001466,432.0
S01001467,471.0
S01001468,371.0
S01001469,476.0
S01001470,609.0
S01001471,434.0
S01001472,472.0
S01001473,430.0
S01001474,428.0
S01001475,346.0
S01001476,570.0
S01001477,545.0
S01001478,403.0
S01001479,313.0
S01001480,322.0
S01001481,504.0
S01001482,262.0
S01001483,538.0
S01001484,485.0
S01001485,395.0
S01001486,420.0
S01001487,240.0
S01001488,487.0
S01001489,386.0
S01001490,348.0
S01001491,486.0
S01001492,377.0
S01001493,412.0
S01001494,339.0
S01001495,372.0
S01001496,517.0
S01001497,282.0
S01001498,428.0
S01001499,514.0
S01001500,238.0
S01001501,477.0
S01001502,475.0
S01001503,421.0
S01001504,327.0
S01001505,582.0
S01001506,295.0
S01001507,591.0
S01001508,542.0
S01001509,326.0
S01001510,261.0
S01001511,364.0
S01001512,213.0
S01001513,182.0
S01001514,413.0
S01001515,392.0
S01001516,259.0
S01001517,272.0
S01001518,345.0
S01001519,529.0
S01001520,285.0
S01001521,610.0
S01001522,367.0
S01001523,431.0
S01001524,353.0
S01001525,342.0
S01001526,337.0
S01001527,309.0
S01001528,556.0
S01001529,271.0
S01001530,289.0
S01001531,476.0
S01001532,347.0
S01001533,547.0
S01001534,349.0
S01001535,491.0
S01001536,268.0
S01001537,234.0
S01001538,473.0
S01001539,451.0
S01001540,471.0
S01001541,444.0
S01001542,372.0
S01001543,379.0
S01001544,433.0
S01001545,449.0
S01001546,275.0
